CONCEPT_CODE	CONCEPT_NAME	DOMAIN_ID	CONCEPT_CLASS_ID	STANDARD_CONCEPT	VOCABULARY_ID	VOCABULARY_NAME
OMOP340608	Hydralazine 10 MG Oral Tablet [Apo-Hydralazine]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP341308	riociguat 2 MG Oral Tablet [Adempas] Box of 84	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350298	Doxazosin 8 MG Extended Release Oral Tablet Box of 28	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350366	Doxazosin 4 MG Oral Tablet by Dexcel-Pharma	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350391	Doxazosin 4 MG Oral Tablet Box of 28 by Ranbaxy	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350414	Doxazosin 4 MG Extended Release Oral Tablet [Doxzogen] Box of 28	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358786	Clonidine Oral Solution	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358884	Clonidine 0.025 MG Oral Tablet Box of 112 by TEVA	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400736	Prazosin 1 MG Oral Tablet [Hypovase] Box of 60 by Waymade	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP413999	moxonidine 0.3 MG Oral Tablet by Focus	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414064	moxonidine 0.4 MG Oral Tablet by Pliva	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414130	moxonidine 0.2 MG Oral Tablet by DE	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279500	Methyldopa 10 MG/ML	Drug	Clinical Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP307025	5 ML Trimethaphan 50 MG/ML Prefilled Syringe	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP307256	5 ML Clonidine 1 MG/ML Prefilled Syringe Box of 1	Drug	Quant Clinical Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP321316	100 ML Hydralazine 5 MG/ML Oral Suspension	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP342073	Nitroprusside 50 MG	Drug	Clinical Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350264	Guanfacine 3 MG Extended Release Oral Tablet [Intuniv] Box of 28 by Shire	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350334	Doxazosin 4 MG [Cascor]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350578	Doxazosin 2 MG Oral Tablet by Almus	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358797	Clonidine 0.0075 MG/ML	Drug	Clinical Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP365622	bosentan 125 MG Oral Tablet Box of 56	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP393434	Minoxidil 2.5 MG Oral Tablet [Loniten] Box of 60 by Mawdsley-Brooks	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400695	Prazosin 0.5 MG Oral Tablet Box of 8	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400769	Prazosin 0.4 MG/ML Oral Solution	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414149	moxonidine 0.2 MG Oral Tablet Box of 28 by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414179	moxonidine 0.2 MG Oral Tablet [Physiotens] Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP253517	Debrisoquin 10 MG Oral Tablet Box of 100	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279403	Methyldopa 250 MG Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279412	Methyldopa 250 MG Oral Tablet by Tillomed	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279497	Methyldopa 500 MG Oral Tablet [Aldomet] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340462	Hydralazine 50 MG Oral Tablet Box of 56 by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340502	Hydralazine 25 MG Oral Tablet Box of 56	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340537	Hydralazine 3 MG/ML	Drug	Clinical Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350344	Doxazosin 4 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350598	Doxazosin 2 MG Oral Tablet Box of 28 by Dexcel-Pharma	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350601	Doxazosin 2 MG Oral Tablet Box of 28 by TEVA	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358877	Clonidine 0.025 MG Oral Tablet Box of 112 by Kent	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358904	Clonidine 0.025 MG Oral Tablet [Dixarit] Box of 112 by Waymade	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358952	Clonidine 0.15 MG/ML Prefilled Syringe Box of 5	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP393440	Minoxidil 5 MG Oral Tablet Box of 60	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP393503	Minoxidil 10 MG Oral Tablet [Loniten] Box of 30 by Sigma-Tau	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400688	Prazosin 0.1 MG/ML Oral Suspension	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400740	Prazosin 1 MG Oral Tablet [Alphavase] Box of 56	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414038	moxonidine 0.3 MG Oral Tablet Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414094	moxonidine 0.4 MG Oral Tablet Box of 30	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414104	moxonidine 0.4 MG Oral Tablet [Physiotens] by BGP	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279469	Methyldopa 500 MG Oral Tablet Box of 30	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279498	Methyldopa 500 MG Oral Tablet [Aldomet] Box of 30 by Aspen	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP290409	1 ML Hydralazine 4 MG/ML Oral Suspension	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP290433	1 ML Hydralazine 7 MG/ML Oral Suspension	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340491	Hydralazine 25 MG Oral Tablet by Phoenix Labs	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340541	Hydralazine 3 MG/ML Oral Suspension	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340557	Hydralazine 0.5 MG/ML Oral Suspension	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP341302	riociguat 2 MG Oral Tablet Box of 84	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350382	Doxazosin 4 MG Oral Tablet Box of 28 by Medreich	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP350593	Doxazosin 2 MG Oral Tablet Box of 28 by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358914	Clonidine 0.009 MG/ML Oral Solution	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP358930	Clonidine 0.25 MG Extended Release Oral Capsule [Catapres]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP393509	Minoxidil 10 MG Oral Tablet [Loniten] Box of 60 by Sigma-Tau	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400692	Prazosin 0.5 MG Oral Tablet by A A H	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400705	Prazosin 0.5 MG Oral Tablet [Hypovase] Box of 8	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP400747	Prazosin 5 MG Oral Tablet Box of 1	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP413178	Indoramin 20 MG Oral Tablet Box of 60 by A A H	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414001	moxonidine 0.3 MG Oral Tablet by Mawdsley-Brooks	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414041	moxonidine 0.3 MG Oral Tablet [Physiotens]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414053	moxonidine 0.4 MG Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414127	moxonidine 0.2 MG Oral Tablet by Waymade	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP414176	moxonidine 0.2 MG Oral Tablet [Physiotens] Box of 28 by DE	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP275848	Macitentan 10 MG Oral Tablet Box of 30	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279427	Methyldopa 250 MG Oral Tablet Box of 56 by Sandoz	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279518	Methyldopa 125 MG Oral Tablet Box of 56 by A A H	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP279520	Methyldopa 125 MG Oral Tablet Box of 56 by Boots	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP307033	5 ML Trimethaphan 50 MG/ML Prefilled Syringe Box of 10 by Cambridge	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP310230	10 ML Clonidine 2 MG/ML Prefilled Syringe Box of 10	Drug	Quant Clinical Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP313814	20 ML Diazoxide 15 MG/ML Prefilled Syringe Box of 5	Drug	Quant Clinical Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP340173	{8 (Prazosin 0.5 MG Oral Tablet) / 32 (Prazosin 1 MG Oral Tablet) } Pack [Hypovase] by Pfizer	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4787037	Doxazosin 4 MG Oral Tablet by Medisa Shinyaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4787165	Prazosin 0.5 MG Oral Tablet [Downat]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4787612	Doxazosin 2 MG Oral Tablet by Elmed Eisai	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4788202	Doxazosin 2 MG Oral Tablet by Towa	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4788492	2 ML Nitroprusside 3 MG/ML Injectable Solution	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4789357	urapidil 15 MG	Drug	Clinical Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4789391	Reserpine 1 MG/ML Oral Powder	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4789503	Doxazosin 2 MG Oral Tablet by Nisshin	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4789671	Reserpine Injectable Solution [Apoplon]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4790320	Doxazosin 0.5 MG Oral Tablet by Sawai Seiyaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4790331	Clonidine 0.075 MG [Catapres]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4792222	Doxazosin Disintegrating Oral Tablet	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4792484	Doxazosin 2 MG Oral Tablet [Cardenalin]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4793934	Doxazosin 1 MG Oral Tablet by Choseido	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4793999	1 ML Reserpine 1 MG/ML Oral Powder [Apoplon]	Drug	Quant Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4795761	Prazosin 0.5 MG [Downat]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4795846	Reserpine Oral Powder	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4796307	Doxazosin 2 MG Oral Tablet by Nichi-Iko	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4796651	Hydralazine 0.1 MG/MG Oral Powder	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4797909	Doxazosin 1 MG Oral Tablet by Tatsumi Kagaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4799550	bosentan 62.5 MG Oral Tablet by Janssen	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4800455	Doxazosin 0.5 MG Oral Tablet [Cardenalin]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4801359	Doxazosin 4 MG Disintegrating Oral Tablet	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4802260	Doxazosin 2 MG Oral Tablet by Janssen	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4802687	Doxazosin 0.5 MG Oral Tablet by Medisa Shinyaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4804385	1 ML Reserpine 0.3 MG/ML Injectable Solution	Drug	Quant Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4805469	Doxazosin 2 MG Disintegrating Oral Tablet	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4807253	bosentan Powder for Oral Suspension	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4807495	Doxazosin 4 MG Oral Tablet by Tatsumi Kagaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4810026	Doxazosin 0.5 MG [Cardenalin]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4811028	Reserpine 0.25 MG [Apoplon]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4811607	Doxazosin 4 MG Oral Tablet by Nisshin	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4814542	Methyldopa 125 MG Oral Tablet by Tsuruhara Seiyaku	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4815296	Doxazosin 0.5 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4816007	Doxazosin 1 MG [Cardenalin]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4816483	Hydralazine Oral Powder	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4818279	Methyldopa 250 MG Oral Tablet [U-Pressdopa]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4818683	Guanabenz 2 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4818772	bosentan 62.5 MG Oral Tablet by Pfizer	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
2052424	100 ML sodium nitroprusside 0.2 MG/ML Injection [Nipride]	Drug	Quant Branded Drug	S	RxNorm	RxNorm (NLM)
1732374	clonidine hydrochloride 0.1 MG/ML Injection	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
1732378	clonidine hydrochloride 0.5 MG/ML Injection	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
OMOP2743554	moxonidine 0.2 MG Delayed Release Oral Tablet [Physiotens] Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2744286	moxonidine 0.2 MG Delayed Release Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2744288	moxonidine 0.4 MG Delayed Release Oral Tablet [Physiotens] by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2744293	moxonidine 0.4 MG Delayed Release Oral Tablet Box of 28 by Mawdsley-Brooks	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2744296	moxonidine 0.4 MG Delayed Release Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2746163	Doxazosin 4 MG Extended Release Oral Tablet by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2747992	Methyldopa 500 MG Delayed Release Oral Tablet by Sovereign	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2748498	moxonidine 0.2 MG Delayed Release Oral Tablet [Physiotens] by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2748504	moxonidine 0.4 MG Delayed Release Oral Tablet by A A H	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2748847	Prazosin 5 MG Extended Release Oral Tablet [Alphavase] by Ashbourne	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2749868	bosentan 125 MG Delayed Release Oral Tablet [Tracleer] by Actelion	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2750384	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Dexcel-Pharma	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2750386	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Phoenix Labs	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2750617	riociguat 1.5 MG Delayed Release Oral Tablet [Adempas] by Merck	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2751032	Prazosin Extended Release Oral Tablet [Alphavase]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2751904	Doxazosin 4 MG Extended Release Oral Tablet [Cascor]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2751958	riociguat 1.5 MG Delayed Release Oral Tablet [Adempas] Box of 84	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2752167	Methyldopa 250 MG Delayed Release Oral Tablet Box of 56 by Phoenix Labs	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2752602	moxonidine 0.2 MG Delayed Release Oral Tablet [Physiotens] by Sigma-Tau	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2752609	moxonidine 0.4 MG Delayed Release Oral Tablet by Zentiva	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2752611	moxonidine 0.4 MG Delayed Release Oral Tablet by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2754528	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2754529	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Sterwin Medicines	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2754532	Doxazosin 4 MG Extended Release Oral Tablet by Sovereign	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2754533	Doxazosin 4 MG Extended Release Oral Tablet by Waymade	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2754535	Doxazosin 0.8 MG/ML Oral Suspension by Drug Tariff Special Order	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2755486	Prazosin 5 MG Extended Release Oral Tablet Box of 1	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2755494	Diazoxide 15 MG/ML Injectable Solution Box of 5	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2755553	Clonidine 0.1 MG Extended Release Oral Tablet Box of 100	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2755592	riociguat 1.5 MG Delayed Release Oral Tablet Box of 84	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756382	Methyldopa 500 MG Delayed Release Oral Tablet by Mawdsley-Brooks	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756385	Methyldopa 250 MG Delayed Release Oral Tablet by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756386	Methyldopa 250 MG Delayed Release Oral Tablet by Phoenix Labs	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756852	moxonidine 0.2 MG Delayed Release Oral Tablet [Physiotens] Box of 28 by Sigma-Tau	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756853	moxonidine 0.2 MG Delayed Release Oral Tablet Box of 28 by Zentiva	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756856	moxonidine 0.2 MG Delayed Release Oral Tablet by Zentiva	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756859	moxonidine 0.4 MG Delayed Release Oral Tablet [Physiotens] Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2756860	moxonidine 0.4 MG Delayed Release Oral Tablet Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2758715	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2758717	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Arrow Generics	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2758719	Doxazosin 4 MG Extended Release Oral Tablet by Dexcel-Pharma	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2760496	Methyldopa 500 MG Delayed Release Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2760498	Methyldopa 250 MG Delayed Release Oral Tablet Box of 1000 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2760979	moxonidine 0.2 MG Delayed Release Oral Tablet Box of 28 by Phoenix Labs	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2760984	moxonidine 0.2 MG Delayed Release Oral Tablet by Mawdsley-Brooks	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2762900	Doxazosin 2 MG Oral Tablet by Arrow Generics	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2762903	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Waymade	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2762904	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Kent	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2763113	riociguat 2.5 MG Delayed Release Oral Tablet [Adempas] by Merck	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764706	Methyldopa 500 MG Delayed Release Oral Tablet Box of 56 by DE	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764709	Methyldopa 500 MG Delayed Release Oral Tablet by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764710	Methyldopa 500 MG Delayed Release Oral Tablet by Sandoz	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764711	Methyldopa 500 MG Delayed Release Oral Tablet by Kent	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764714	Methyldopa 250 MG Delayed Release Oral Tablet Box of 56 by Sovereign	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2764948	ambrisentan 10 MG Delayed Release Oral Tablet [Volibris] by Glaxosmithkline	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2765190	moxonidine 0.2 MG Delayed Release Oral Tablet Box of 28 by Actavis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2766972	Doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Sandoz	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2766974	Doxazosin 4 MG Extended Release Oral Tablet by Sterwin Medicines	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2766976	Doxazosin 0.8 MG/ML Oral Solution by Drug Tariff Special Order	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2767196	riociguat 1.5 MG Delayed Release Oral Tablet [Adempas] Box of 42 by Merck	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2767663	Prazosin Extended Release Oral Tablet [Minipress]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2767796	Methyldopa 250 MG Delayed Release Oral Tablet Box of 1000	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2769328	moxonidine 0.2 MG Delayed Release Oral Tablet Box of 30 by Dowelhurst	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2769329	moxonidine 0.2 MG Delayed Release Oral Tablet Box of 28 by Genus	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2769330	moxonidine 0.2 MG Delayed Release Oral Tablet by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2771264	Doxazosin 4 MG Extended Release Oral Tablet by Almus	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2771499	Nitroprusside 50 MG Injectable Suspension Box of 5 by Alliance	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2772027	Guanfacine Extended Release Oral Tablet [Tenex]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2773166	Methyldopa 500 MG Delayed Release Oral Tablet by Genesis	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2773169	Methyldopa 250 MG Delayed Release Oral Tablet by Tillomed	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP2773170	Methyldopa 250 MG Delayed Release Oral Tablet by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
